symbol,name
NASA.JK,Andalan Perkasa Abadi Tbk.
MDKI.JK,Emdeki Utama Tbk.
BELL.JK,Trisula Textile Industries Tbk
KIOS.JK,Kioson Komersial Indonesia Tbk
GMFI.JK,Garuda Maintenance Facility Ae
MTWI.JK,Malacca Trust Wuwungan Insuran
ZINC.JK,Kapuas Prima Coal Tbk.
MCAS.JK,M Cash Integrasi Tbk.
PPRE.JK,PP Presisi Tbk.
WEGE.JK,Wijaya Karya Bangunan Gedung T
PSSI.JK,IMC Pelita Logistik Tbk.
MORA.JK,Mora Telematika Indonesia Tbk.
DWGL.JK,Dwi Guna Laksana Tbk.
PBID.JK,Panca Budi Idaman Tbk.
JMAS.JK,Asuransi Jiwa Syariah Jasa Mit
CAMP.JK,Campina Ice Cream Industry Tbk
IPCM.JK,Jasa Armada Indonesia Tbk.
PCAR.JK,Prima Cakrawala Abadi Tbk.
LCKM.JK,LCK Global Kedaton Tbk.
BOSS.JK,Borneo Olah Sarana Sukses Tbk.
HELI.JK,Jaya Trishindo Tbk.
JSKY.JK,Sky Energy Indonesia Tbk.
INPS.JK,Indah Prakasa Sentosa Tbk.
GHON.JK,Gihon Telekomunikasi Indonesia
TDPM.JK,Tianrong Chemicals Industry Tb
DFAM.JK,Dafam Property Indonesia Tbk.
NICK.JK,Charnic Capital Tbk.
BTPS.JK,Bank BTPN Syariah Tbk.
SPTO.JK,Surya Pertiwi Tbk.
PRIM.JK,Royal Prima Tbk.
HEAL.JK,Medikaloka Hermina Tbk.
TRUK.JK,Guna Timur Raya Tbk.
PZZA.JK,Sarimelati Kencana Tbk.
TUGU.JK,Asuransi Tugu Pratama Indonesi
MSIN.JK,MNC Digital Entertainment Tbk.
SWAT.JK,Sriwahana Adityakarta Tbk.
TNCA.JK,Trimuda Nuansa Citra Tbk.
MAPA.JK,Map Aktif Adiperkasa Tbk.
TCPI.JK,Transcoal Pacific Tbk.
IPCC.JK,Indonesia Kendaraan Terminal T
RISE.JK,Jaya Sukses Makmur Sentosa Tbk
BPTR.JK,Batavia Prosperindo Trans Tbk.
POLL.JK,Pollux Properties Indonesia Tb
NFCX.JK,NFC Indonesia Tbk.
MGRO.JK,Mahkota Group Tbk.
NUSA.JK,Sinergi Megah Internusa Tbk.
FILM.JK,MD Entertainment Tbk.
ANDI.JK,Andira Agro Tbk.
LAND.JK,Trimitra Propertindo Tbk.
MOLI.JK,Madusari Murni Indah Tbk.
